Year,Japan,Spain_wt,Spain_no,Taiwan,Portugal
1993,0.13395,,,,
1994,0.12008,,,,
1995,0.16906,,,,
1996,0.13508,,,,
1997,0.1456,,,,
1998,0.10922,,,,
1999,0.32398,,,,
2000,0.0782,,,,8.801020408
2001,0.16159,4.3375,0.06045918367,,4.566326531
2002,0.0834,3.402806122,0.04846938776,,2.933673469
2003,0.03836,3.195663265,0.04158163265,,6.301020408
2004,0.07847,2.905867347,0.04030612245,,2.704081633
2005,0.03876,3.256122449,0.04846938776,0.04931122449,8.18877551
2006,0.05184,2.393112245,0.03520408163,0.06368367347,4.43877551
2007,0.0468,3.080867347,0.04744897959,0.04736734694,4.362244898
2008,0.03192,3.035969388,0.04693877551,0.0960255102,7.066326531
2009,0.0154,3.382142857,0.05051020408,0.09679081633,5.102040816
2010,0.03,5.338265306,0.08290816327,0.07631122449,5.994897959
2011,0.037,5.139030612,0.08137755102,0.1205714286,5.714285714
2012,0.02646,5.045663265,0.07831632653,0.0645,8.316326531
2013,0.04732,4.077295918,0.05816326531,0.06442857143,5
2014,0.0714,4.603571429,0.06607142857,0.05373469388,5.892857143
2015,0.061,5.114795918,0.07193877551,0.04581632653,5.841836735
2016,0.08415,5.80127551,0.08954081633,0.0751122449,5
2017,0.04407,7.357142857,0.1142857143,0.09337755102,4.948979592
2018,0.10318,7.117602041,0.1058673469,0.08543877551,7.040816327
